concept_id,domain_category,source,metaphor,mono_leakage,mono_leaked_words,mono_explanation,imaw_leakage,imaw_leaked_words,imaw_explanation
1,infrastructure,Kubernetes Cluster Architecture: 1. Control Plane manages worker nodes and Pods.,Running a massive 19th-century luxury hotel,YES,resources,"The word 'resources' is a direct leak from the source domain's vocabulary. In the sentence, 'The wing must possess the resources required by the guest party,' the term is used in its technical sense of allocatable capacity (like CPU/Memory), rather than using a term native to the hotel metaphor (e.g., 'amenities', 'space', 'staffing'). This is especially noticeable as the metaphor had previously established specific equivalents like 'beds' and 'luggage space'.",YES,Management System; API Gateway; Data Store; Assignment Coordinator; State Regulator; Execution Nodes; Node Agent; Deployable Unit; Required Resource,"The generated output explicitly includes source-domain technical jargon within parenthetical asides for almost every metaphorical role. Terms like 'API Gateway', 'Execution Nodes', 'Node Agent', and 'Deployable Unit' are lifted directly from computing and the specific Kubernetes source, breaking the immersion of the 19th-century hotel metaphor."
2,infrastructure,"DNS Resolution: A client queries a recursive resolver, which checks its cache. O",A medieval postal courier network delivering sealed letters,YES,Com; Org; Net,"The metaphor, set in a medieval kingdom, explicitly names duchies after Top-Level Domains (TLDs) from the DNS source domain: 'the Duchy of Com, the Duchy of Org, the Duchy of Net'. These are not generic terms but specific technical examples that have leaked into the target metaphor.",NO,,"No source-domain vocabulary detected. The metaphor successfully translates technical concepts like 'cache', 'TTL', and 'resolver' into domain-appropriate terms like 'Postmaster's Archive', 'Wax Seal's Integrity', and 'Local Postmaster' without using the original jargon."
3,infrastructure,CI/CD Pipeline: Code is committed to a repository. A build server detects change,"A sushi chef's omakase preparation — course by course, each inspected before serving",YES,test,"The word 'test' is a core piece of vocabulary from the source CI/CD domain (unit tests, integration tests). While 'test' can be a generic word, its explicit use in the metaphor directly corresponds to the formal testing stages of the pipeline ('It is a test of togetherness' for integration testing, 'passed every test' referring to all checks). A more domain-appropriate synonym like 'trial,' 'check,' or 'evaluation' would have avoided this leakage.",YES,Artifact; Gate,"The term 'Artifact' is specific CI/CD vocabulary for a built software package, and was used directly in the metaphor as 'Output Artifact'. The term 'Gate' was also lifted directly from the source phrase 'manual approval gate' and used as 'Authorization Gate'."
4,infrastructure,Load Balancer Architecture: Incoming traffic hits a load balancer that distribut,A maître d' seating guests across multiple dining rooms in a grand restaurant,YES,routed,"The word 'routed' is used to describe how guests are sent to other dining rooms. This is a direct vocabulary lift from the source domain, where 'routing' traffic is a core technical concept. More metaphorical language like 'guided' or 'directed' would have been more appropriate for the restaurant domain.",NO,,No source-domain vocabulary detected.
5,infrastructure,Docker Containerization: An application and its dependencies are packaged into a,An astronaut's self-contained spacesuit system on a space station,YES,layer; layering; instance,"The terms 'layer' and 'layering' are used to describe how the 'Mission Pack' is assembled. This is a direct reference to how Docker images are built from a Dockerfile 'layer by layer', a specific technical concept from the source domain. Additionally, describing the 'Live Mission' as a 'running, active, and independent instance' directly mirrors the source's technical phrasing 'runtime instances of images'.",NO,,No source-domain vocabulary detected.
6,finance,Options Pricing (Black-Scholes): A call option gives the holder the right to buy,A farmer's right to harvest fruit from a neighbor's tree before winter,YES,value of time,"The source domain uses the specific technical term 'time value'. The generated output uses the phrase 'value of time', which is a direct, non-metaphorical reference to this concept. This leaks the source-domain terminology into the explanation instead of using a purely metaphorical equivalent, such as the 'hopeful value' or 'what-if value' that were also used in the text.",YES,option; transaction; expires; downside; upside; decay,"The generated text leaks several terms from the source financial domain. It uses the word 'option' itself, which is the core concept being explained. It also uses 'expires' and 'decay,' which are direct lifts from 'expiration' and 'time decay.' Furthermore, it employs financial jargon like 'transaction,' 'downside,' and 'upside,' which are not native to the farming metaphor."
7,finance,Fractional Reserve Banking: Banks accept deposits and are required to hold a fra,"A village bakery that lends rising dough to neighbors, who return it with interest in bread",YES,deposit; multiplies,"The output uses the word 'deposit', which is a core technical term from the source domain of banking, when describing Finn bringing his new starter to the pantry. It also uses the word 'multiplies', a direct reference to the 'money multiplier' effect from the source domain, to describe how the starter in the village increases.",YES,in reserve,"The phrase 'in reserve' is used to describe the portion of Dough Starter that the Bakery must keep. This directly uses the key technical term 'reserves' from the source domain of Fractional Reserve Banking, which is a clear semantic leak."
8,finance,Blockchain Consensus (Proof of Work): Miners compete to solve a cryptographic ha,Gold prospectors competing to find nuggets that unlock a communal vault,YES,the longest chain,"The phrase 'the longest chain is the only chain' is a direct, verbatim rule from the blockchain source domain. While the metaphor successfully translates other concepts, this specific technical term was copied directly instead of being explained using the metaphor's own vocabulary, such as 'the Vault Chain with the most boxes welded to it'.",YES,fork; The Longest Chain,"The word 'fork' is a specific technical term from the blockchain source domain used to describe a divergence in the chain. The phrase 'The Longest Chain' is also a canonical term from the source domain describing the rule for resolving consensus; using the exact phrase is a leak, even if 'chain' is used metaphorically elsewhere."
9,finance,"Supply and Demand Equilibrium: As price rises, quantity demanded falls and quant","Two children on a seesaw in a playground — one represents buyers, the other sellers",NO,,"No source-domain vocabulary detected. The output successfully translates all technical economic terms (e.g., 'price', 'equilibrium', 'shortage', 'surplus', 'price ceiling') into metaphorical equivalents within the playground domain (e.g., 'Excitement Level', 'balance', 'unhappy line of Wanters', 'bored Givers', 'Safety Bar').",YES,Demand; Supply; tendency to change,"The output introduces metaphorical terms like 'enthusiasm' but then immediately and repeatedly uses the explicit source-domain technical jargon 'Demand' and 'Supply'. Additionally, the phrase 'no tendency to change' is lifted directly from the technical definition of equilibrium in the source text, rather than being translated into the playground metaphor."
10,finance,"Venture Capital Funding Rounds: Startups raise capital in stages — seed, Series ",A traveling theater troupe recruiting patrons to fund increasingly grand performances,NO,,No source-domain vocabulary detected.,YES,dilution; liquidated,"The output explicitly uses the term 'dilution', which is specific technical jargon from the venture capital source domain referring to the reduction of ownership percentage. It also uses the word 'liquidated', which is directly derived from 'liquidation event', another key technical term from the source."
11,biology,mRNA Vaccine Mechanism: Synthetic mRNA encoding a viral spike protein is encapsu,A town crier distributing wanted posters so the sheriff's deputies can recognize an outlaw,NO,,No source-domain vocabulary detected.,YES,translates; degrades; processing unit,"The output contains words directly from, or closely associated with, the source domain. The source states 'ribosomes translate the mRNA' and the metaphor uses 'Literate Townsfolk...translates it'. The source states 'The mRNA degrades' and the metaphor says the information 'degrades over time'. Additionally, 'processing unit', while not in the source text, is a technical term for the ribosome's function, leaking the technical concept rather than using a purely metaphorical term."
12,biology,CRISPR-Cas9 Gene Editing: A guide RNA (gRNA) is designed to complement a target ,A locksmith with a blueprint searching a building to find and replace one specific lock,NO,,No source-domain vocabulary detected.,NO,,"No source-domain vocabulary detected. The output successfully maps concepts from the source domain (CRISPR-Cas9) to the target domain (locksmith) without using any specific technical jargon from the source like 'DNA', 'gRNA', 'Cas9', 'sequence', or 'genome'."
13,biology,Photosynthesis (Light Reactions): Chlorophyll in thylakoid membranes absorbs pho,A hydroelectric dam system powered by sunlight-driven water pumps,NO,,"No source-domain vocabulary detected. The generated output successfully abstracts the technical concepts (e.g., 'Photosystem II', 'electron', 'ATP') into new metaphorical terms ('Pump Station II', 'bucket of water', 'Power Gems') without using the original jargon.",NO,,No source-domain vocabulary detected.
14,biology,Immune System Adaptive Response: Dendritic cells capture antigens and present th,"A medieval kingdom's intelligence network — scouts, war council, knights, and archivists",YES,activated,"The word 'activated' is used to describe the General being authorized to act after seeing proof of an enemy. This is a direct term from the source domain ('Activated T-helpers', 'T-cells cannot activate'). While 'activate' can be a general term, its specific use here to denote the state change that enables a larger response is a clear leak from the immunological source.",NO,,No source-domain vocabulary detected.
15,biology,"Mitosis: A cell duplicates its chromosomes during S-phase. In prophase, chromoso",A master calligrapher copying a sacred manuscript and splitting the originals between two libraries,YES,poles,"The word 'poles' is used to describe the opposite ends of the room to which the scrolls are moved. This is a direct loan-word from the source domain of mitosis, where separating chromatids move to the opposite 'poles' of the cell. This specific term is technical jargon in the context of cell division and its use in the metaphor is a semantic leak.",YES,poles,"The word 'poles' is a specific technical term from the source domain of mitosis, referring to the opposite ends of the cell to which sister chromatids migrate. The metaphor uses this exact term ('opposing poles') instead of a more domain-native alternative like 'opposite ends of the room' or 'far walls'."
16,networking,TCP/IP Three-Way Handshake: A client sends a SYN packet to a server. The server ,Two Renaissance diplomats exchanging sealed letters before opening trade negotiations,YES,Handshake,"The source technical process is explicitly named the 'Three-Way Handshake'. The metaphor directly lifts this key term to name its own process the 'Florentine Handshake' and 'Handshake of Letters'. In the context of computer networking protocols, 'Handshake' is specific jargon, not a generic term, making its direct use in the metaphor's title and description a semantic leak.",YES,bidirectional,"The word 'bidirectional' is a direct lift from the source text's description ('Data can then flow bidirectionally'). While a common English word, its use in the metaphor is a direct carry-over of the technical language rather than a full translation into the target domain's vernacular, such as 'trade could flow in both directions'."
17,networking,OAuth 2.0 Authorization Flow: A user clicks 'Login with Provider.' The app redir,A guest at a masquerade ball receiving a dance card from the host to access different rooms,YES,protocol,"The word 'protocol' is used twice in the explanation. In the source domain, OAuth is explicitly defined as an 'authorization protocol'. While 'protocol' has a broader English meaning, its use here is a direct transfer of a key technical term from the source domain into the metaphorical explanation.",NO,,No source-domain vocabulary detected.
18,networking,Public Key Cryptography (RSA): Each party generates a public-private key pair. T,"A pair of magical lockboxes — anyone can lock one, but only its twin key can open it",YES,private; sign; private key; signature,"The generated output leaks source-domain vocabulary in its final summary sentence by explicitly using the terms 'private key' and 'signature' instead of the established metaphorical terms 'Master Key' and 'Signature Seal'. Additionally, a recap section uses the verb 'sign', the direct technical term for the action, and the text uses the qualifier 'private' (from 'private key') to describe the 'Master Key'.",YES,private; verify,"The term 'private' is used in 'private, secret Magical Key,' which directly leaks the source-domain term 'private key.' The metaphor had already established the key as 'secret,' making the inclusion of 'private' an unnecessary and direct leak. The term 'verify' is used to describe checking the authenticity of the 'Artisan's Wax Seal,' which is the exact technical verb from the source domain ('anyone can verify with the public key')."
19,networking,Firewall Packet Filtering: A firewall inspects incoming and outgoing packets aga,Castle gate guards checking travelers' papers against a royal decree scroll,NO,,No source-domain vocabulary detected.,YES,processing node; processor; state record; traffic,"The output leaks technical jargon from the source domain. It refers to the guard as a 'processing node' and a 'processor', calls the ledger a 'state record' (directly referencing 'connection state'), and uses the word 'traffic' to describe the flow of people, which is the literal term for data movement in networking."
20,networking,VPN Tunneling (IPsec): Two endpoints negotiate security associations using IKE p,A secret underground passage between two castles with encoded messenger pigeons,YES,handshake,"The term 'handshake' is used to describe the initial negotiation ritual. In the source domain of networking and security protocols (like IKE), 'handshake' is specific technical jargon for the process of two endpoints establishing a connection and agreeing on parameters. Its use in the metaphor is a direct leak from the source domain's vocabulary.",YES,session,"The word 'session' is used twice, which is a direct term from the source domain ('session key', 'past sessions'). In the generated output, it appears as 'a new ""session"" of communication' and 'Cipher Ring for each session,' leaking technical jargon into the metaphor domain."
21,physics,Nuclear Fission in a Reactor: Uranium-235 absorbs a neutron and splits into two ,A beehive where splitting honeycombs release worker bees that split more combs,NO,,"No source-domain vocabulary detected. The generated output successfully translates all key technical concepts from the nuclear fission domain (e.g., 'neutron', 'chain reaction', 'control rods', 'moderator', 'supercritical') into novel metaphorical terms ('Worker Bee', 'the Great Buzz', 'Nectar-Rich Sponges', 'Pollen Haze', 'Roaring Frenzy') without using the original jargon.",YES,chain reaction; critical threshold,"The term 'chain reaction' is used multiple times directly from the source technical vocabulary. Instead of a metaphorical equivalent like 'self-propagating swarm' or 'cascade of splittings,' the output uses the specific scientific term. Similarly, 'critical threshold' is a leak, as 'critical' has a precise technical meaning in nuclear physics (criticality, supercritical) that is being directly imported into the metaphor's description of a runaway process."
22,physics,"Transistor Logic (MOSFET): A MOSFET has gate, source, and drain terminals. Apply","A drawbridge controlled by a herald's flag — raised flag opens the road, lowered flag blocks it",NO,,No source-domain vocabulary detected.,YES,Gate,"The term 'Dual-Gate Fortress' incorporates the specific source-domain technical jargon 'gate', which refers to a transistor terminal. While 'gate' is also a word in the target domain (a fortress entrance), its use in the compound name 'Dual-Gate' directly mirrors the dual-transistor structure of the source concept (CMOS), leaking a specific technical term into the metaphor's name."
23,physics,Thermodynamic Heat Engine (Carnot Cycle): A working fluid undergoes isothermal e,"A watermill that draws water from a hot spring, uses it to turn wheels, and drains to a cold river",NO,,"No source-domain vocabulary detected. The output successfully translates all technical thermodynamic concepts (isothermal/adiabatic processes, reservoirs, heat, efficiency) into the language of the watermill metaphor (level filling/emptying, sealed falling/rising, springs/rivers, warmth, performance based on height) without using the original jargon.",YES,system boundary; internal energy; Heat Absorption; Heat Rejection; reservoirs; efficient; efficiency,"The output contains several terms that are technical jargon from the source domain of thermodynamics. 'System boundary' and 'internal energy' are specific concepts in this field. 'Heat Absorption' and 'Heat Rejection' are direct translations of thermodynamic processes (isothermal expansion/compression) rather than metaphorical descriptions. The word 'reservoirs' is used in its specific thermodynamic sense, and 'efficiency' is a key technical metric from the source domain that has been carried over directly."
24,physics,Orbital Mechanics (Hohmann Transfer): A spacecraft in a lower circular orbit fir,"A swimmer diving from a low diving board, arcing through the air, and grabbing a high trapeze bar",YES,Departure; Arrival,"The words 'Departure' and 'Arrival' are used as formal, capitalized section headers. While they are common words, in the context of the source text they are specific jargon referring to the departure and arrival orbits. Using them directly as labels in the metaphor constitutes semantic leakage.",NO,,No source-domain vocabulary detected.
25,physics,"Superconductivity (BCS Theory): Below a critical temperature, electrons form Coo",Ice dancers on a frozen lake — pairs glide frictionlessly until the sun warms the ice,NO,,No source-domain vocabulary detected.,YES,critical threshold; expel; expulsion; critical value,"The output directly lifts technical vocabulary from the source domain. The terms 'critical threshold' and 'critical value' are used repeatedly, mirroring the source's 'critical temperature' and 'critical values'. The specific verb 'expel' (and its noun form 'expulsion') is also taken directly from the source's description of the Meissner effect, where a magnetic field is 'expelled'."
26,law,Jury Trial Process (US): The prosecution and defense select jurors through voir ,A village elders' council judging a dispute between two rival farming families,YES,testimony; guilt,"The word 'testimony' is a specific legal term from the source domain that was used directly in the metaphor. The metaphor had consistently used 'stories' as its parallel term, making the shift to 'testimony' a clear leak. Additionally, the phrase 'To find guilt' is legalistic jargon that breaks the established 'village council' metaphor.",YES,deliberate; verdict; unanimous,"The output uses 'verdict', 'unanimous', and 'deliberate', which are specific, technical terms directly from the source description of a US jury trial. A more effective metaphor would use native-domain words like 'judgment' or 'decision' instead of 'verdict', and would describe the rule as 'all elders must agree' instead of using the legal term 'unanimous'."
27,law,Patent System: An inventor files an application disclosing the invention in full,A wizard's guild that grants exclusive rights to cast newly discovered spells,YES,skilled in the art; obvious,"The generated output directly uses the phrases 'skilled in the art' and 'obvious', which are specific legal terms of art from the patent system source domain. These phrases are the core of the non-obviousness rule and should have been translated into the metaphor's domain (e.g., 'clear to any journeyman mage') rather than being copied verbatim.",YES,Patents; prior art; patent-holder; obvious; non-obvious,"The output contains several specific technical terms from the source patent system domain. 'Patents' is used in the main title. The phrase 'prior art' is a legal term of art that was not translated into the metaphor. 'patent-holder' is also a direct copy. The terms 'obvious' and 'non-obvious' are used in their specific legal sense from the source, rather than being fully replaced by their metaphorical equivalents like 'trivial derivation'."
28,law,Constitutional Checks and Balances: The legislature makes laws. The executive en,Three master chefs sharing one kitchen — each controls one station and taste-tests the others' dishes,YES,overruled; check,"The word 'overruled' is specific legal/governmental jargon from the source domain, often associated with judicial decisions. The word 'check' (as in 'held in check') is also a direct leak from the name of the source concept, 'Checks and Balances'. While these are common English words, their usage in this context is a direct pull from the technical vocabulary of political science rather than a full translation into the kitchen metaphor.",YES,override; overridden,"The term 'override' is specific technical vocabulary from the source domain of constitutional checks and balances, referring to the legislature's power to overcome a veto. It was used directly in the metaphor instead of a more domain-appropriate equivalent."
29,chemistry,"Catalysis (Enzyme Kinetics): An enzyme binds a substrate at its active site, for",A master tailor's workshop where a fitting mannequin shapes fabric into garments,YES,occupied; plateau,"The term 'plateau' is used to describe the workshop's rate hitting a maximum, which is a specific term ('plateaus') from the source domain of enzyme kinetics. The term 'occupied' is also used repeatedly to describe the state of the mannequin, directly mirroring the source's technical phrase 'all active sites occupied'.",YES,catalyst,The term 'catalyst' is used directly in the concluding paragraph. This word is explicit technical vocabulary from the source domain of 'Catalysis (Enzyme Kinetics)' and should have been replaced with a term native to the tailor workshop metaphor.
30,chemistry,Electrochemistry (Galvanic Cell): Two half-cells contain different metals in ele,Two connected hot springs where minerals flow downhill from one pool to another through a channel,NO,,No source-domain vocabulary detected.,NO,,No source-domain vocabulary detected.
31,chemistry,Polymer Chain Reaction (PCR): A DNA template is heated to separate strands (dena,A printing press that photocopies a single page — each copy is copied again in the next round,YES,cycle,"The word 'cycle' is a key technical term from the source domain (PCR) describing one full round of denaturation, annealing, and extension. The metaphor adopts this exact term ('first cycle', 'second cycle', 'With every cycle') instead of using a term native to its own domain, such as 'round', 'pass', or 'trip through the workshop'.",YES,synthesizes; cycle; cyclical,"The term 'synthesizes' is a direct leak from the source domain's description ('synthesizing new strands') and is not vocabulary typically used to describe photocopying. The terms 'cycle' and 'cyclical' are also used repeatedly to describe the process, directly mirroring the 'cycle' terminology from the PCR source, where a more native term for the metaphor domain, like 'round' or 'run', would be expected."
32,chemistry,Ceramics in Modern Architecture: Traditional ceramic cladding acts as passive we,The lifecycle of a star evolving from a main-sequence star into a planetary nebula,NO,,"No source-domain vocabulary detected. The output successfully translates the technical concepts from architecture (e.g., 'photocatalytic surfaces', 'thermal-regulating', 'passive weatherproofing') into metaphorical language appropriate for the target domain of astronomy (e.g., 'alchemist shell', 'breathing lung', 'unwavering shield') without using the original jargon.",YES,catalytic,"The word 'catalytic' is a direct leak from the source domain's technical term 'photocatalytic'. The metaphor should have used a term native to the target domain (e.g., 'triggering', 'igniting') to describe the function of the Helium Shell Flash, rather than borrowing a specific chemical process descriptor from the source."
33,chemistry,Distillation: A liquid mixture is heated in a flask. Components with lower boili,"A mountain range where clouds form at different altitudes, each carrying a single type of rain",NO,,No source-domain vocabulary detected.,YES,Azeotropic; azeotrope,The specific chemical term 'Azeotropic' (derived from 'azeotrope' in the source) is used directly in the metaphorical explanation ('Azeotropic Fog'). This is highly specific jargon from the source domain of distillation and is not a term native to the target domain of meteorology or geography.
34,strategy,Kotter's 8-Step Change Management applied to Enterprise AI adoption: 1. Create u,"Leading a team of Victorian-era explorers into a magical, uncharted jungle",YES,powerful coalition; previous stable state; short-term wins; consolidate your gains; anchored,"The generated output directly lifts several key technical phrases from the source domain of Kotter's Change Management model instead of translating them into the target metaphor. Specific jargon like 'powerful coalition', 'short-term wins', 'consolidate your gains', 'anchored', and the rule 'regression to the previous stable state' were used verbatim.",NO,,"No source-domain vocabulary detected. The output successfully translates the core logic of the source material (Kotter's 8-step model, specifically the rule about sequential progression and regression) into the target metaphor domain of a jungle expedition without using any technical jargon from change management or AI adoption."
35,strategy,Global Supply Chain Predictive AI Maintenance: IoT sensors on factory machines c,A Roman General (Legatus) maintaining the combat readiness of his legions in Britannia,NO,,"No source-domain vocabulary detected. The output successfully translates all technical concepts (e.g., 'IoT sensors', 'anomaly patterns', 'confidence threshold', 'purchase order') into thematically appropriate language for the Roman Legion metaphor (e.g., 'Centurions', 'Whisper of Future Weakness', 'Standard of Certainty', 'Requisition for Imperial Support').",YES,queried,"The word 'queried' is technical jargon from computer science, specifically database and information systems. In the context of checking the 'strength of the Legionary Reserve,' it leaks the underlying source concept of a system programmatically checking an inventory database. A more appropriate, non-leaking term within the Roman metaphor would be 'assessed,' 'tallied,' or 'reported.'"
36,strategy,Intelligence Cycle (OODA Loop): Observe — gather raw data from sensors and sourc,"A jazz quartet improvising on stage — listening, interpreting, choosing notes, and playing",YES,"oriented; orientation; cycle; cycles; force, misapplied","The output directly uses several key technical terms from the source OODA Loop description instead of translating them into the jazz metaphor. The words 'oriented' and 'orientation' are used verbatim from the 'Orient' step. The term 'cycle' and the verb 'cycles' are used in the same context as the source's 'cycle' and 'cycle time'. Most explicitly, the exact phrase 'misapplied force' from the source's rule is copied directly into the final paragraph as 'force, misapplied'.",YES,Process Node; Data Packet; act,"The output introduces technical jargon like 'Process Node' and 'Data Packet' which are not native to the jazz domain and break the metaphor. More explicitly, the final sentence uses the word 'act,' which is a direct term from the source OODA Loop's 'Act' phase, instead of a metaphorical equivalent like 'play'."
37,strategy,Game Theory (Prisoner's Dilemma): Two players independently choose to cooperate ,Two neighboring gardeners deciding whether to share water or hoard it during a drought,NO,,"No source-domain vocabulary detected. The generated output successfully translates all core concepts from the source domain (players, cooperate, defect, payoff, iterated games, tit-for-tat, dominant strategy) into the target metaphor's language (gardeners, share, hoard, harvest, long season, Gardener's Handshake, smartest choice) without using the original technical jargon.",NO,,No source-domain vocabulary detected.
38,cs_theory,Relational Database Normalization: Data is organized into tables (relations). Fi,"An archivist organizing a royal family's genealogy into separate, cross-referenced scrolls",NO,,"No source-domain vocabulary detected. The metaphor successfully translates all technical concepts (First/Second/Third Normal Form, keys, joins, dependencies) into the target domain of an archivist (Tidyings, Seals, Reconstructing History) without using the original jargon.",NO,,No source-domain vocabulary detected.
39,cs_theory,MapReduce: Input data is split into chunks. Map workers process each chunk indep,An election night vote-counting operation across hundreds of polling stations,NO,,"No source-domain vocabulary detected. The metaphor successfully translates technical concepts like 'Map', 'Reduce', 'shuffle', 'stateless', 'fault tolerance', and 'data locality' into the target domain of an election without using the original jargon.",NO,,No source-domain vocabulary detected.
40,cs_theory,Garbage Collection (Mark-and-Sweep): The runtime maintains a set of root referen,"A lighthouse keeper walking the grounds after a storm, tagging every surviving plant and clearing debris",NO,,No source-domain vocabulary detected.,NO,,No source-domain vocabulary detected.
41,cs_theory,Compiler Pipeline: Source code is lexed into tokens. Tokens are parsed into an A,"A textile mill turning raw cotton into finished cloth — ginning, spinning, weaving, dyeing, pressing",YES,abstract; hierarchical structure; intermediate form; efficiency; optimized; execute,"The output contains several terms directly from the source domain of compilers. 'intermediate form' is a direct translation of 'intermediate representation'. 'optimized' and 'efficiency' are taken from the 'optimizer' phase. 'hierarchical structure' is jargon used to describe the Abstract Syntax Tree, and 'execute' is a computer science term for running commands. 'Abstract' also leaks from 'Abstract Syntax Tree'.",NO,,"No source-domain vocabulary detected. The explanation consistently uses terms from the target domain (textile mill) without including specific technical jargon from the source domain (compiler pipeline). General terms like 'input', 'output', and 'process' are applicable to both domains and do not constitute a semantic leak."
42,cs_theory,Raft Consensus Algorithm: A cluster of servers elects a leader. The leader recei,A pirate crew electing a captain — whoever gets the most votes commands the ship until challenged,YES,election,"The word 'election' is a key term from the source domain description (e.g., 'election timeout', 'wins the election'). While it is a common word, it is also the specific technical term for the process in Raft. The metaphor could have relied on more native terms already introduced, such as 'Captain's Challenge' or 'vote', to avoid this direct overlap.",YES,Term,"The word 'Term' is a specific technical noun from the Raft algorithm, representing a monotonically increasing counter that serves as a logical clock. Its inclusion in the phrase 'Captain's Term' is a direct leak of source-domain jargon, whereas a more metaphorical equivalent like 'reign', 'voyage', or 'tour of duty' would have been more appropriate for the pirate domain."
43,social_science,"Maslow's Hierarchy of Needs: Humans prioritize physiological needs (food, water)",A mountain climber ascending base camp to summit — each camp must be established before advancing,YES,fundamental needs; self-respect; potential,"The terms 'fundamental needs', 'self-respect', and 'potential' are specific vocabulary and core definitional concepts from the source domain of psychology and Maslow's theory. 'Needs' is the central term of the theory, 'self-respect' is a key component of the 'esteem' level, and 'achieving one's potential' is the definition of 'self-actualization'. These terms have leaked into the target metaphor, explicitly labeling the concepts instead of letting the metaphor's own language (e.g., 'rations and shelter') convey the meaning.",NO,,No source-domain vocabulary detected.
44,social_science,Cognitive Dissonance Theory: When a person holds two conflicting beliefs or acts,Two magnets glued together at repelling poles — the structure vibrates until one magnet flips,YES,conflict,"The word 'conflict' is a key technical term from the source theory, describing the state between two 'conflicting beliefs' or 'cognitions'. While the metaphor effectively establishes its own vocabulary (repulsion, strain, vibration, warring poles), it then uses the source-domain term 'conflict' directly, which constitutes a leak.",YES,reduced,"The word 'reduced' is lifted directly from a key rule in the source domain: 'Dissonance can only be reduced by...'. Its appearance in the metaphor's parallel rule, 'The vibration can only be reduced by...', is a direct vocabulary leak from the source's technical description of the resolution process."
45,social_science,Diffusion of Innovations: New technologies are adopted in stages — innovators (2,"A rumor spreading through a village — first the gossips, then the curious, then the cautious, then the skeptics",YES,visionaries; visionary; pragmatic,"The output leaks the terms 'visionaries'/'visionary' and 'pragmatic' directly from the source text. The source specifies the need to shift from 'visionary to pragmatic messaging'. The generated metaphor uses these exact words to describe the pre-chasm (Curious) and post-chasm (Cautious) groups, which is a direct transfer of source-domain jargon.",YES,chasm; mainstream,"The word 'chasm' is taken directly from the source domain's specific jargon ('A 'chasm' exists...'). While the metaphor creates its own term ('The Plausibility Gap'), it still uses the original technical term to describe it. The word 'mainstream' is also a key term from the source ('mainstream adoption') that is used directly in the metaphorical explanation to describe the same concept."
46,social_science,Operant Conditioning (Skinner): Behavior followed by reinforcement (positive or ,"Training a falcon — rewarding dives with treats, ignoring lazy circles",NO,,No source-domain vocabulary detected.,YES,Response; probability; baseline level; rate,"The output leaks several terms from the source domain of behavioral psychology. 'Response' is consistently used as a capitalized, technical term for the consequence of an action, mirroring its specific meaning in operant conditioning. The repeated, clinical use of 'probability' to describe the likelihood of a behavior reflects the scientific framing of the source theory. 'Baseline level' is specific, technical jargon from experimental psychology. Finally, 'rate of Maneuver performance' directly mirrors the source's 'response rates', a key metric in this field."
47,arts,Sonata Form (Classical Music): An exposition presents two contrasting themes in ,"A courtroom drama — the prosecution and defense present arguments, the jury weighs evidence, the judge delivers a verdict",NO,,No source-domain vocabulary detected.,NO,,No source-domain vocabulary detected.
48,arts,"Color Theory (Subtractive Mixing): Primary colors (cyan, magenta, yellow) combin","Three warring kingdoms whose armies, when merged, create shadow territories",YES,absorbs; neutralize; neutral; Warm; Cool,"The output leaks specific technical vocabulary from the source domain. The term 'absorbs' is used to explain the creation of shadow, directly referencing the 'absorption of all light' from the source. The term 'neutralize' (and 'neutral') is the specific technical word for what happens when complementary colors are mixed. Finally, 'Warm' and 'Cool' are used as explicit categories ('Warm-Blooded', 'Cool-Headed'), directly lifting the classification terms from color theory.",YES,advancement; recession; neutralizes,"The words 'advancement' and 'recession' are direct nominalizations of 'advance' and 'recede' from the source domain, which are technical terms in color theory describing the perceived spatial depth of warm and cool colors. The word 'neutralizes' is also lifted directly from the source rule 'Mixing complementary colors neutralizes saturation' and applied to the corresponding metaphorical rule."
49,ecology,Carbon Cycle: CO2 is absorbed from the atmosphere by plants via photosynthesis. ,"Gold coins circulating through a fantasy kingdom — minted, spent, melted, and re-minted",YES,atmosphere,"The term 'atmosphere' is used directly from the source domain's vocabulary. The metaphor had already established 'air' as the equivalent term ('floats in the very air we breathe'), so the use of 'atmosphere' is an explicit technical leak.",YES,buffer,"The word 'buffer' is a technical term from the source domain used to describe how oceans regulate CO2. This exact term was used in the metaphor to describe the Merchant's Guild Vault, which is the analog for the oceans, stating it 'acts as a crucial buffer'. This is a direct leak of source-domain jargon."
50,ecology,Predator-Prey Dynamics (Lotka-Volterra): Prey populations grow exponentially wit,"Two rival fan bases at a stadium — one side's cheering drowns out the other, then the energy shifts back",YES,feed on; nothing to feed on,"The phrase 'feed on' is used twice to describe how the 'Silencers' are energized by the 'Chanting Fans'. This is a direct lexical leak from the source domain of predator-prey dynamics, where predators literally feed on prey for sustenance. While it can be used metaphorically, its specificity to the source's biological mechanism makes it an overt leak.",YES,cycle; negative; oscillating,The words 'cycle' and 'oscillating' are specific technical terms used to describe the behavior of the Predator-Prey (Lotka-Volterra) model. The word 'negative' is lifted directly from a technical rule of the source model ('Neither population can go negative') and is used unnaturally in the metaphoric context of 'negative chanting volume'.
